risk_region,exercise_id,exercise_name,muscle_group,inferred_pattern,risk_reason,suggested_contraindications,suggested_pain_limitation_tags,suggested_regressions,suggested_equivalent_substitutes,suggested_progressions,suggested_equipment,priority,reviewer_status,reviewer_notes
"joelho","78b51c57-8c6b-4aba-8696-0716caaa3e9c","Afundo Barra Livre","quadríceps","joelho_dominante","Relevante a joelho (joelho_dominante)","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","barbell","P2","needs_review","Sugestao automatica (ORDEM 026) - validar com professor/curador"
"joelho","75be10d2-4087-4b4d-9a88-c04f9bdb1a30","Afundo Halteres","quadríceps","joelho_dominante","Relevante a joelho (joelho_dominante)","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","dumbbells","P2","needs_review","Sugestao automatica (ORDEM 026) - validar com professor/curador"
"joelho","75a0be3c-782a-43bd-b622-51bb4c2def59","Afundo Halteres com 2 Steps","quadríceps","joelho_dominante","Relevante a joelho (joelho_dominante)","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","dumbbells","P2","needs_review","Sugestao automatica (ORDEM 026) - validar com professor/curador"
"joelho","18ca2f96-e70f-4428-b5d6-e20804eb193a","Afundo Halteres com Step na Frente","quadríceps","joelho_dominante","Relevante a joelho (joelho_dominante)","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","dumbbells","P2","needs_review","Sugestao automatica (ORDEM 026) - validar com professor/curador"
"joelho","1682b804-b531-426d-bb6b-93e5b9b7ceda","Afundo Smith","quadríceps","joelho_dominante","Relevante a joelho (joelho_dominante)","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","machine","P2","needs_review","Sugestao automatica (ORDEM 026) - validar com professor/curador"
"joelho","02b41ea3-d381-4c67-baec-67c4998ba7a8","Afundo Smith 2 Steps","quadríceps","joelho_dominante","Relevante a joelho (joelho_dominante)","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","machine","P2","needs_review","Sugestao automatica (ORDEM 026) - validar com professor/curador"
"joelho","9898104c-2955-45b1-a364-661ee61c444d","Afundo Smith com Step na Frente","quadríceps","joelho_dominante","Relevante a joelho (joelho_dominante)","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","machine","P2","needs_review","Sugestao automatica (ORDEM 026) - validar com professor/curador"
"joelho","c452607e-7dff-463d-adb2-a712059a8d26","Agachamento Búlgaro","quadríceps","joelho_dominante","Relevante a joelho (joelho_dominante)","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","","P2","needs_review","Sugestao automatica (ORDEM 026) - validar com professor/curador"
"joelho","553c7283-a12a-4407-b23c-1498460c8e87","Agachamento Búlgaro Barra Livre","quadríceps","joelho_dominante","Relevante a joelho (joelho_dominante)","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","barbell","P2","needs_review","Sugestao automatica (ORDEM 026) - validar com professor/curador"
"joelho","d91a1c63-de51-4a7f-a42c-23f5911c18f9","Agachamento Búlgaro com Apoio","quadríceps","joelho_dominante","Relevante a joelho (joelho_dominante)","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","","P2","needs_review","Sugestao automatica (ORDEM 026) - validar com professor/curador"
