"exercise_id","exercise_name","muscle_group","max_priority","risk_regions","movement_patterns","source_packages","suggested_contraindications","suggested_pain_limitation_tags","suggested_regressions","suggested_equivalent_substitutes","suggested_progressions","suggested_equipment","conflict_notes","reviewer_status","reviewer_name","reviewed_at","reviewer_notes","approval_decision_reason","ready_for_upsert"
"05f95cd1-0819-458e-ba2a-f4431d7816e5","Supino Reto Máquina","peitoral","P2","shoulder","empurrar_horizontal","movement_pattern_minimum; risk_regions","","shoulder_pain; shoulder_impingement; scapular_control","Voador; Crucifixo Reto Halteres; Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Supino Inclinado Máquina; Supino Reto Halteres; Supino Reto Máquina; Voador","Progredir reps antes de carga; escápulas firmes; ROM indolor; controle escapular","machine","","needs_review","","","","","false"
"be15aca9-9af9-4e55-8c54-288689feb7cd","Supino Inclinado Máquina","peitoral","P2","shoulder","empurrar_horizontal","movement_pattern_minimum; risk_regions","","shoulder_pain; shoulder_impingement; scapular_control","Voador; Crucifixo Inclinado Halteres; Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Supino Reto Máquina; Supino Inclinado Máquina; Voador","Progredir reps antes de carga; escápulas firmes; ROM indolor; controle escapular","machine","","needs_review","","","","","false"
"316c9693-ce56-4b3b-b31e-f4316f75e70c","Voador","peitoral","P2","shoulder","empurrar_horizontal; isolado_acessorio","movement_pattern_minimum; risk_regions","","shoulder_pain; scapular_control","Crucifixo Reto Halteres; Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Supino Reto Máquina; Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Progredir reps antes de carga; sem dor; ROM indolor; controle escapular","machine","","needs_review","","","","","false"
"75be10d2-4087-4b4d-9a88-c04f9bdb1a30","Afundo Halteres","quadríceps","P2","knee","joelho_dominante; unilateral","movement_pattern_minimum; risk_regions","","knee_pain; dynamic_valgus","Step Up Halteres; Agachamento Búlgaro com Apoio; Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Passada Halteres; Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir carga só com equilíbrio e sem dor; Progredir reps antes de carga; ROM indolor; sem método avançado com dor","dumbbells","","needs_review","","","","","false"
"d91a1c63-de51-4a7f-a42c-23f5911c18f9","Agachamento Búlgaro com Apoio","quadríceps","P2","knee","joelho_dominante; unilateral","movement_pattern_minimum; risk_regions","","knee_pain; dynamic_valgus","Step Up Halteres; Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Afundo Halteres; Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; sem dor; ROM indolor; sem método avançado com dor","dumbbells","","needs_review","","","","","false"
"88194a44-bee6-4693-a1a6-73d5e80aaaff","Step Up Halteres","quadríceps","P2","knee","joelho_dominante; unilateral","movement_pattern_minimum; risk_regions","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Afundo Halteres; Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Aumentar altura do step / carga sem dor; Progredir reps antes de carga; ROM indolor; sem método avançado com dor","dumbbells","Sugestao(oes) sem exercicio real movida(s) p/ revisao: (reduzir altura do step)","needs_review","","","","","false"
"78b51c57-8c6b-4aba-8696-0716caaa3e9c","Afundo Barra Livre","quadríceps","P2","knee","joelho_dominante","risk_regions","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","barbell","","needs_review","","","","","false"
"75a0be3c-782a-43bd-b622-51bb4c2def59","Afundo Halteres com 2 Steps","quadríceps","P2","knee","joelho_dominante","risk_regions","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","dumbbells","","needs_review","","","","","false"
"18ca2f96-e70f-4428-b5d6-e20804eb193a","Afundo Halteres com Step na Frente","quadríceps","P2","knee","joelho_dominante","risk_regions","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","dumbbells","","needs_review","","","","","false"
"1682b804-b531-426d-bb6b-93e5b9b7ceda","Afundo Smith","quadríceps","P2","knee","joelho_dominante","risk_regions","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","machine","","needs_review","","","","","false"
"02b41ea3-d381-4c67-baec-67c4998ba7a8","Afundo Smith 2 Steps","quadríceps","P2","knee","joelho_dominante","risk_regions","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","machine","","needs_review","","","","","false"
"9898104c-2955-45b1-a364-661ee61c444d","Afundo Smith com Step na Frente","quadríceps","P2","knee","joelho_dominante","risk_regions","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","machine","","needs_review","","","","","false"
"c452607e-7dff-463d-adb2-a712059a8d26","Agachamento Búlgaro","quadríceps","P2","knee","joelho_dominante","risk_regions","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","","","needs_review","","","","","false"
"553c7283-a12a-4407-b23c-1498460c8e87","Agachamento Búlgaro Barra Livre","quadríceps","P2","knee","joelho_dominante","risk_regions","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","barbell","","needs_review","","","","","false"
"d0c93be9-6ee3-420e-a34e-10ffe077d9f2","Agachamento Búlgaro com Step","quadríceps","P2","knee","joelho_dominante","risk_regions","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","","","needs_review","","","","","false"
"e9d6bfd4-2980-45b9-beac-855bb6be8c0b","Agachamento Búlgaro Inclinado","quadríceps","P2","knee","joelho_dominante","risk_regions","","knee_pain; dynamic_valgus","Cadeira Extensora; Elevação Pélvica Máquina; Abdução de Quadril com Miniband","Leg Press 45; Leg Press Horizontal; Cadeira Extensora","Progredir reps antes de carga; ROM indolor; sem método avançado com dor","","","needs_review","","","","","false"
